id,text,category
tam110,எங்களுக்கு மண்ணும் பொண்ணும் முக்கியம்... நம் குல பெண்களை காக்க தாய் திரௌபதி மீண்டும் அவதாரம் எடுத்து வந்தது போல் உணர்கிறேன்... என்றும் யாதவ கண்ணன் குலம் துணை நிற்கும்...  சிறப்பான சிகரம் தொட தமிழ்நாடு யாதவர் பேரவை சார்பாக வாழ்த்துக்கள்...,NOT
tam111,ஒரு குறிப்பிட்ட சாதிய வச்சு மட்டுமே படங்கள் பாத்த தமிழ் சினிமாவில் இது கொஞ்சம் புதுசு ரொம்ப தேவையான படமும் கூட.இப்பக்கூட ஒரு படம் வந்துச்சே 'குண்டு' இதுல ஒரு குறிப்பிட்ட சாதியோட நெறி ரொம்ப வீசுச்சு.இந்த படம் வெற்றி அடைய பட்டாரியர் சமுதாயம் சார்பாக வாழ்த்துக்கள்,NOT
tam112,எங்கடா அவன் அடங்கமறு அத்துமீறு. ஒழுங்கா படி உருப்படு.,NOT
tam113,அகில உலக வெள்ளாளர் (வேளாளர்) சமுகத்தின் சார்பாக வாழ்த்துக்கள். இந்த படம் நூறு நாட்கள் கடந்து வெற்றி அடைய வாழ்த்துக்கள்.  இந்த படத்திற்கு முழு அதற்வு உண்டு,NOT
tam114,"இவளே ஒரு உச்சநீதிமன்ற திருட்டு குற்றவாளி இவிங்களுக்கு ஒரு படமா ,தமிழினத்துக்கு அம்மா வேலுநாச்சியார் படத்தை எடுங்கடா பின்பு இவருக்கு எந்த அளவு மரியாதைனு பார்ப்போம்",OFF
tam115,அட்டகத்தி மெட்ராஸ் கபாலி காலா குண்டு பரியேறும் பெருமாள் இந்த மாதிரியான படத்தை எல்லாம் பார்க்கும் போது தான் எனக்கு ஜாதி ன்னும் ஒன்னு முக்கியம்னு தோணுச்சு..  இப்படியாப்பட்ட படத்தை தான் நான் நீண்ட நாளாக எதிர்பார்த்து இருந்தேன்  டைரக்டர் மோகன் அவர்களுக்கு எனது மனமார்ந்த வாழ்த்துக்களும் நன்றிகளும்,NOT
tam116,திருநெல்வேலி வீரபாகு சேனைத்தலைவர் மக்களின் சார்பாக இந்தப்படம் மாபெரும் வெற்றிபெற வாழ்த்துக்கள்,NOT
tam117,இந்த முன்னோட்டத்தை ஆதரவு அளித்த அனைத்து சமுதாய நண்பர்களுக்கும் #திரௌபதி குழுவின் சார்பாக மனமார்ந்த நன்றி. இவன் உங்களில் ஒருவன்,NOT
tam118,"எனக்கு தெரிஞ்சி நிறையபேர் ஜாதி மாற்றி, மதம் மாற்றி  திருமணம் செய்தும்  நல்லாத்தான் இருகாங்க....  தப்பா ஒன்னும் தெரியலையே..  இவனுவ ஏன் பொய்யான படம் எல்லாம் எடுக்குறாங்க  #பயமா  #அசுரன் பட (கதறல்)பயத்தின் விளைவே ''திரௌபதி",NOT
tam119,திருநெல்வேலி யாதவர் சமுதாயம் சார்பாக திரௌபதி படம் வெற்றி பெற வாழ்த்துகள்,NOT
tam120,டிக்டாக்ல சன்ட போட்டிங்க இப்போது வெள்ளி திரையாடா வாழுங்கபா வாழ்த்துக்கள்,NOT
tam121,500 கோடிகுடுத்தா எவன் டயரையும் நக்க ரெடி,OFF
tam122,உடையார் இன மக்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
tam123,இண்டகி! நெறய பேர்ட இல்லாத ஒரு கெட்ட பழக்கம் என் கிட்ட இருக்கு!!! டா!!!!!!!,NOT
tam124,"நல்லா இருக்கு..... வெற்றி வெற்றி தா, இனி ஆயுள் வரை.....",NOT
tam125,தமிழ்நாட்டில்  உள்ள  வன்னியர்கள்  திரௌபதி  படத்தினை  தியேட்டர்  சென்று  பார்த்தாலே படம்  பிளாக் பஸ்டர்....,NOT
tam126,என்ன டா நீங்க பக பக பக பக னு சங்கு வேற ஊதிக்கிறீங்க🤣🤣🤣,OFF
tam127,மிரட்டல் காம்போ..  அண்ணன் உதயநிதி ஸ்டாலின் அவர்களின் திரை பயணத்தில் மாபெரும் வெற்றி படைப்பாக நிச்சயம் இருக்கப்போகிறது சைக்கோ.. வாழ்த்துகள்...,NOT
tam128,சும்மா இப்படி தெறிக்க விடுத்துனா படம் சும்மா மரண மாஸ் தான்,NOT
tam129,"இந்த ட்ரைலர் புடிக்காம போற்றவங்கிய யாருலாம்னா... நாடக காதல் பண்ணவனும்.., நாடக காதல் பண்ணபோறவனும்..,நாடக காதல் பனிட்டுஇருபவனும்தான் இந்த ட்ரைலர் புடிக்காம  பன்னுவாங்கிய.., நாடக காதல் கூ***ரொம்ப நாள் என் மனதில் இருந்து வெளில சொல்ல ஆதங்கப்பட்டத அப்பிடியே பாக்கிறேன் திரௌபதி டைரக்டர் @மோகன் உங்களுக்கு என்னுடைய மனசார மனமார்ந்த நன்றி",NOT
tam130,கடலூர் மாவட்டம் வழிசோதனைபாளையம் கிராம மக்கள் சார்பாக எங்கள் திரௌபதி தாயை வாழ்த்தியல்லை  வணங்கியே பழக்கப்பட்டவர்கள் நாங்க வணங்குகி மகிழ்கிறோம்...,NOT
tam131,உண்மையைக் கூறி இருக்கிறீர்கள் ரொம்ப நன்றி அண்ணா அண்ணனுக்கு நன்றிகள் பல....,NOT
tam133,எந்த பெரிய விசியம் ஆனாலும் அதோட ஆணி வேர்யில் இருந்து ஆரம்பிக்கரது தான் அழகு ,NOT
tam134,படம் வெற்றிப்பெற அனைத்து அம்பலகாரர்  சார்பாக வாழ்த்துக்கள்...,NOT
tam135,"வெகு நாட்களாக இப்படி உண்மையை போட்டு உடைக்கும், சமூக அக்கறையுள்ள திரைப்படத்தை தான் எதிர்ப்பார்த்து காத்துக்கொண்டிருந்தேன்.! அடுத்தவர் வீட்டு பெண்களின் மீது கை வைக்கும் நாய்களுக்கான படமாக இருக்கிறது.! கபாலி, காலா, பரியேறும் பெருமாள் போன்ற படங்களை போன்று இப்படத்தையும் ஒரு திரைப்படமாக பார்க்கவும்.!! வீணாக இப்படத்தின் மீது தவறான ஜாதி சாயத்தை பூசாதீர்.!!!  திரௌபதி துகிலுரிந்த காலம் சென்று., அவளின் மானம் காக்கப்படட்டும். இப்படம் மாபெரும் சமூக மாற்றத்தோடு வெற்றியடைய மனமார்ந்த வாழ்த்துக்கள்.!  இப்படிக்கு சாதாரண மனிதனில் ஒருவன்",NOT
tam136,பிகில்'னு மொக்க படத்துல கதிர்'ர நடிக்க வைக்கனு கூட்டினு போயீ ... பொம்மை போல உக்கார வச்சுடானுவோ எச்சைங்க   இந்த படத்துல கதிர் சம்பவம் இருக்கு,NOT
tam137,பெருந்தலைவர் காமராஜர் பக்தர்கள் சார்பாக வாழ்த்துக்கள் இவன் டெல்டா மாவட்டம் மாவீரன் ராக்கெட் ராஜா பாசறை,NOT
tam138,சீமானை மனதில் வைத்து படம் எடுத்திருப்பார்களோ? சும்மா கேட்டு வைப்போம்...,OFF
tam139,ஆயிரம் பெரியார் வந்தாலும் நம் மக்களைத் திருத்த முடியாது,NOT
tam140,"ஆகச் சிறந்த போதை பேச்சு போதை- செம, அருமையான டிரெய்லர்",NOT
tam141,மிக கேவளமானவர்கள் இந்த பயையர் சமூகத்து சிலர்  அவர்களால் ஓட்டு மொத்த பிரிவினருக்கும் ஒரே முத்திரை  அவர்களை சொல்லி தவறில்லை வழிகாட்டுதல் அப்படி......ஒருநாள் எல்லா சமூகமும் உயர்ந்து ஒன்றாக சமமாக நிற்கும் இவர்களை தவிர.அதற்கு காரணம் அவர்களே .,NOT
tam142,சோத்துக்கு வழி இல்லானாலும் சாதி வெறிக்கு கொரச்சல் இல்ல.  அக்னி சட்டிகள்,NOT
tam143,இந்த படைப்பு எந்த தடையும் இன்றி வெளியாக வேண்டும்,NOT
tam144,செய்யுறது தப்பு.இதுல நியாயம் வேற.விஷ விதை இந்த படம்.,NOT
tam145,முத்தரையர் (அம்பலகாரர் ) வம்சம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.... இதுவரை எங்கள்  முத்திரையர்களிடம் நாடக காதல் குமபல் எந்த வேலையையும் காட்ட வில்லை.... காட்டவும் மாட்டார்கள்.. காட்டவும் முடியாது.. எங்கள் வளர்ப்பு அப்படி... என் அம்மா எனக்கு சொல்லியதையே என் பிள்ளைக்கு சொல்லி கொடுப்பேன்..... வீர அம்பலக்காரன்டா....,NOT
tam146,எங்கள் வீட்டு பெண் பிள்ளைகள் அனைவருக்கும் இந்த படத்தை பார்க்க வைப்பேன்,NOT
tam147,இராஜபாளையம் விருதுநகர் மாவட்டம் ....மாவீரன் வீர பாண்டிய கட்ட பொம்மனார் நாயக்கர் சார்பாக இப்படைத்தை வெற்றி விழா காண வாழ்த்துக்கள்....,NOT
tam148,"நான் பில்டப் கொடுக்கவில்லை, தானாக இப்படி ஆகிவிட்டது",NOT
tam149,ஜாதிகளை ஒழிப்போம் சொல்ற திருட்டு திராவிடம் பெரியார் கும்பல் சவாட்டும்,NOT
tam150,இந்த படத்தை 90 kids வெறி தனமா ஒட வைப்பாங்க..  புரிச்சவங்க லைக் பண்ணுங்க..  புரியாதவன் 90 kids இல்லை,NOT
tam151,இந்த மாதிரியன படங்கள் அதிகமாக எடுக்கபட வேண்டும்,NOT
tam152,மாவீரன் காடுவெட்டியார் j.குரு  வன்னியர்  சங்கம் (உடையார்பாளையம்) சார்பாக  படம் வெற்றி பெற வாழ்த்துகிறோம்,NOT
tam153,மொக்க டா சாமி....இவான் எப்ப டா செத்து ஒழிவான் கருமம் இதல்லாம் பாச வேண்டியதா இருக்கு,OFF
tam154,நான்கு திசைகளுக்கும் சேர்த்து நான்கு காதல்  கொண்ட கதாபாத்திரமாக இப்டம் அமையும்னு நெனைக்றன்,NOT
tam155,இதுவரை காணாத வரலாறு இது அனைத்து சமுதாய நண்பர்களும் ஒன்றிணைந்து சமுதாயத்தின் சார்பாக வாழ்த்துக்கள் சொல்வது   இந்த படம் மாபெரும் வெற்றி படமாக வீரபாகு சேனைத்தலைவர் சமுதாயத்தின் சார்பாக வாழ்த்துக்கள்,NOT
tam156,இவ்ளோ ஸ்டார்ஸ் வெச்சு படம் எடுக்கிறது சின்ன விஷயம் இல,NOT
tam157,"நாட்டுக்கோட்டை நகரத்தார் சமூகம் சார்பாக இந்த படம் வெற்றி பெற வாழ்த்துகள் , அண்ணா ,",NOT
tam158,புதுச்சேரி வன்னியர் சங்கம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
tam159,சொந்த சாதிக்காரன் கற்பழிச்சா கூட பிரச்சனையில்லை ஆனால் வேற சாதிக்காரன் காதலிச்சா மட்டும் காதல் நாடகக்காதல் ஆகிவிடுகிறது .. இன்றைய போராளிகளுக்கு..,NOT
tam160,"ஜாதிகள் இல்லையடி பாப்பா; - குலத் தாழ்ச்சி உயர்ச்சி சொல்லல் பாவம்; நீதி, உயர்ந்தமதி, கல்வி - அன்பு நிறைய உடையவர்கள் மேலோர்",NOT
tam161,பண்ணது எல்லாம் அண்ணன் குஜினிகாந்தோட குஞ்சுகள் தான்..,OFF
tam162,கமெண்ட் மயிர மட்டும் நல்லா ரோஷப் புண்டையா போடுங்க டா! ஆனா ஓட்டு அவனுங்க கூட்டணிக்கு போடுங்க.,OFF
tam163,மண்ணும் பெண்ணும் இரண்டும் முக்கியம் மேல கை வச்சா வெட்டுவேன் தரமான சம்பவம் செய்ய வ௫கிறாள் திரெளபதி,OFF
tam164,உழுது பூமில இரத்தம் சிந்தி அரிசி அனுப்புற ஒவ்வொரு ஜீவனுக்கும்..  நாடு நல்லாருக்கனும்னு .. உழைக்கிற ஒவ்வொரு தொழிலாளிக்கும்..  எல்லாத்தையும் தட்டிக் கேக்குற உரிமை இருக்கு.. #NGK,NOT
tam165,"இதுல ஜாதியே mention பன்னல அதுக்குள்ள குருமா குரூப்க்கு கோவம் வருது , எவ்ளோ தான் நீங்க முன்னேறினாலும் உங்க புத்தி மட்டும் மாறாது டா, chai!!!!",OFF
tam166,"சக்கிலியர் சமுதாய இளைஞர்கள் சார்பாக, திரௌபதி #பாடம்  மாபெரும் வெற்றியடைய வாழ்த்துக்கள்",NOT
tam167,கிருஷ்ணவகை சமுதாய சார்பாக இந்த திரைப்படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
tam168,என்ன மயிரு ட்ரைலெர்ட்டா இது ஒன்னும் புரியல 🤦‍,OFF
tam169,எங்கள் மனதில் நினைத்துக் கொண்டிருந்ததை திரை வடிவாக வடிவமைத்த மோகன்.g டைரக்டர் அவர்களுக்கு நன்றி.,NOT
tam170,நீ என்ன பெரிய வசூல் மன்னனா தெரியல்ல அப்படித்தான் பேசிக்கிறானுங்க.....,OFF
tam171,ஒரு தாழ்தபட்ட சமுதாய மக்களுக்கு தூண்டி விடும் தலைவர்க்கு தக்க பதில் அடி தரும்,NOT
tam172,பிள்ளைமார் சங்கம் சார்பாக படம் வெற்றியடைய  வாழ்த்துக்கள்,NOT
tam173,படம் ரிலீஸ் தேதியை  கொஞ்சம் சீக்கிரமா வச்சிருந்தா நல்லா இருக்கும். எல்லா ஜாதிக்காரரும் இந்த படத்தை பாக்கணும்ன்னு இருக்காங்க அந்த குஞ்சித் & குருமா பாய்ஸ் தவற.  சூட்டோட சூடா படத்தை ரிலீஸ் பண்ணிட்டா நல்லாயிருக்கும்.,OFF
tam174,தோழரே ஆகஸ்ட் மாதம் இந்தப் படத்தை வெளியிட்டார் என்ன ஒரு பிரயோஜனம் அதுவே இந்த எலக்சனுக்கு புள்ள வெளியிட்டார் உங்களால ஒரு 80 ஆயிரம் பேராவது திருந்துவாங்க பணம் மட்டும் சம்பாதிக்க போதாது நான் சொல்வது புரியுதுங்களா,OFF
tam176,"எப்படி ஒரு நாணயதுக்கு இரு முகம் இருபது போல இப்திரைப்படதில் கலப்பு திருமணதின் மறுமுகத்தை காட்டி உள்ளனர், கலப்பு திருமணதினால் பெண் வீட்டினர் படும் துன்பம் சொல்லில் அடங்காது...  பட குழுவினர்க்கு வாழ்த்துக்கள்",NOT
tam178,முதலியார் சமூகம் சார்பாக வெள்ளி விழா காண வாழ்த்துக்கள்,NOT
tam179,"மோகன் ஜி... செருப்பை எங்க வைக்கணும், சீப்பை எங்க வைக்கணும்னு நம்மளுக்கு சொல்லிகுடுத்து வளர்த்திட்டாங்க..! ரெண்டுக்கும் வித்தியாசம் தெரியாத நாய்க குறைக்குது.. 🤣🤣🤣",OFF
tam180,வீர வன்னிய குல சத்திரிய வம்சத்தின் போர்வாள் மீண்டும் எழுச்சி பெற்று விட்டது,NOT
tam181,இயக்குனர் தயாரிப்பாளர் மற்றும் படக்குழுவினர் பாதத்தை தொட்டு வணங்குகிறேன்,NOT
tam182,இந்த படம் வெற்றி பெற வாழ்த்துக்கள்.... ஆனால்  எதுக்கு சாதி பெயர் வாழ்த்துக்கள் சொல்டிரிங்க.......(விழுப்புரம் மாவட்டம்..... ),NOT
tam183,"திருமாவழவன், பா.ரஞ்சித் பொண்ற சாதி வெறியர்கலுக்கு  இப்படம் சமர்பனம்...படம் வெற்றி பெற வாழ்த்துகள்",NOT
tam184,ஆனா இந்த வசன நடை செத்துப்போச்சு. நாங்கள் யதார்தமாக வட்டார மொழி பேசும் படங்களை பார்க்க ஆரம்பித்து விட்டோம் mr mani. இவ்வளவு கோடி கொட்டி படம் பண்றீங்க. ஒரு வசன கர்த்தாவ வச்சுக்க கூடாதா. Shankar ஐ பாத்தாவது திருந்த வேண்டாமா?,OFF
tam185,தென்னிந்தியா செட்டியார் சமூகத்தின் சார்பாக இப்படம் வெற்றிபெற வாழ்த்துக்கள்,NOT
tam186,வன்னியர் குல சத்திரியர் சார்பாக இந்த படம் வெற்றி பெற வாழ்த்துகின்றோம்,NOT
tam187,வன்னியர்களுகன படம் வெற்றி,NOT
tam188,ரஷ்ய அதிபர் புதின் சார்பாக படம் வெற்றியடைய வாழ்த்துகள்...,NOT
tam189,குறிப்பிட்ட தனிநபரின் டவுசரை கலட்டிய இயக்குனர்  Mohan G அவர்களுக்கு என் மனமார்ந்த வாழ்த்துக்கள்,NOT
tam190,ஒருவனுக்கு அவன் ஜாதி மதம் சொந்தம் பந்தம் இனம் தாய்மொழி  தாய்நாடு என அனைத்தும் பெரிதுதான்...,NOT
tam191,திருச்செங்கோடு படையாச்சிகள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
tam192, நிச்சயம் மாபெரும் வெற்றிபெறும்...கொங்கு தமிழன்,NOT
tam193,எத்தனை நாளைக்கு பொய்யான செய்திகளை பரப்பி கொண்டிருப்பார்கள் கீழ்த்தரமான ஜாதி நாய்கள்  உண்மை வெளிவரும் என்று ஏங்கி இருந்தோம் ஆனால் இன்று பெருமை கொள்கிறேன் மாவீரன் சத்ரிய குல வம்சம்,NOT
tam194,தமிழ்நாடு வாணிய செட்டியார் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
tam195,முதலியார்களின் சார்பாக இந்த திரைப்படம் வெற்றி பெற  வாழ்த்துக்கள்,NOT
tam197,மிரட்டோ மிரட்டுனு மிரட்டிட்டிங்க எனக்கு தெரிஞ்சி உதய் அண்ணாவுக்கு இந்த படம் மிகப்பெரிய வெற்றியை தரும்,NOT
tam198,அற்புதம் மிக மிக அற்புதமான மனிதர் அஜீத் தல தல தான்,NOT
tam199,1996 அரசியல்  திமுக  புதிதாக உருவான தமிழ் மாநில காங்கிரஸ் கட்சிக்கு ரஜினி தேவைப்பட்டார்  ஜெயலலிதா ஆட்சியினை அப்புறப்படுத்த எதிர்கட்சிகளுக்கு ரஜினி தேவைப்பட்டார்  ரஜினி பெயரை சொல்லி வாக்கு கேட்டு வென்றனர்🤘  கோமாளி பட இயக்குனருக்கு வரலாறு தெரியுமா,OFF
tam200,அன்றைக்கு எங்கள் குல சாமி சொன்னது திரௌபதி திரைப்படம் இவண்.மாவீரன் தம்பி சரத்...🦁🦁🦁,NOT
tam201,"மாவீரன் காடுவெட்டியார் ஆசியோடு திரௌபதி மிரட்டுவாள்…!!!   இந்த திரைபடம் மூலமா எந்த பிரச்சனை வந்தாலும், அதை உடன் இருந்து, எதிர்கொள்ள தயார்…!!! இவன்- மாவீரன் காடுவெட்டியார் வளர்ப்பு",OFF
tam202,வெற்றி பெற சிங்கம் சூர்யா சார்பாக வாழ்த்துக்கள்,NOT
tam203,"ஒரு சாதியனாக அல்ல ஒரு தகப்பனாக நாம் பார்த்து, ஆதரிக்க வேண்டிய படம். சமூக அவலத்தை துணிச்சலுடன் காட்டிய இயக்குனருக்கு நன்றி.",NOT
tam205,ஜே.குருவின் தம்பிகள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்  வீர வன்னியன்டா,NOT
tam206,அகரம் பவுண்டேஷன் மூலம் நிறைய பேர் கல்விக்கு உதவும் சூர்யா அண்ணாவின் படம் வெற்றி பெற வாழ்த்துகிறேன் மே 31 காத்திருப்போம்,NOT
tam207,இப்படம் எப்போது வந்தாலும் எங்க ஊரை சேர்ந்த 25-30 பேர் கண்டிப்பாக திரையரங்கு சென்று பாபோம்  இது போன்று படங்களை வணிக ரீதியாக வெற்றி செய்ய வேண்டும் ...திரையரங்குகள் சென்று படம்  பார்க் பொருவங்க Like Panunga,NOT
tam208,"அய்யா சத்திரிய குஞ்சுகலா உங்ககிட்ட  உள்ள சொத்தே,ஒரு மட்ட கம்பு,கொத்தனார் கரண்டி,இதை நாங்க வேற அபகரிக்க போரமா...    காமெடி பன்னாதிங்கடா",OFF
tam209,மிகவும் அருமையான படம் தயவுசெய்து அனைவரும் தியேட்டரில் சென்று பார்த்து ஆதரவு தருமாறு கேட்டுக்கொள்கிறேன் இதுபோன்ற படங்கள் தோல்வி அடைந்தால் சமுதாயத்தில் நடக்கும் அநியாயங்களை எடுத்துரைக்க எவரும் முன்வர மாட்டார்கள்,NOT
